goods_id,price,research_date,business
0,197.0,2021-09-10,s
0,197.0,2021-09-17,s
0,197.0,2021-09-24,s
0,197.0,2021-10-01,s
0,197.0,2021-10-08,s
0,197.0,2021-10-15,s
0,197.0,2021-10-22,s
0,197.0,2021-10-29,s
0,197.0,2021-11-05,s
0,197.0,2021-11-12,s
0,197.0,2021-11-19,s
0,197.0,2021-11-26,s
0,197.0,2021-12-03,s
0,197.0,2021-12-10,s
0,197.0,2021-12-17,s
0,197.0,2021-12-24,s
0,197.0,2021-12-31,s
0,197.0,2022-01-07,s
0,197.0,2022-01-14,s
0,197.0,2022-01-21,s
0,197.0,2022-01-28,s
0,197.0,2022-02-04,s
0,197.0,2022-02-11,s
0,197.0,2022-02-18,s
0,197.0,2022-02-25,s
0,197.0,2022-03-04,s
0,197.0,2022-03-11,s
0,197.0,2022-03-18,s
0,197.0,2022-03-25,s
0,197.0,2022-04-01,s
0,197.0,2022-04-08,s
0,197.0,2022-04-22,s
0,197.0,2022-04-29,s
0,197.0,2022-05-06,s
0,197.0,2022-05-13,s
0,197.0,2022-05-20,s
0,197.0,2022-05-27,s
0,197.0,2022-06-03,s
0,197.0,2022-06-10,s
0,197.0,2022-07-08,s
0,197.0,2022-07-15,s
0,197.0,2022-07-22,s
0,197.0,2022-07-29,s
0,197.0,2022-08-05,s
0,197.0,2022-08-12,s
0,197.0,2022-08-19,s
1,208.5,2021-09-10,s
1,190.0,2021-09-17,s
1,190.0,2021-09-24,s
1,190.0,2021-10-01,s
1,208.5,2021-10-08,s
1,208.5,2021-10-15,s
1,208.5,2021-10-22,s
1,208.5,2021-10-29,s
1,208.5,2021-11-05,s
1,208.5,2021-11-12,s
1,208.5,2021-11-19,s
1,208.5,2021-11-26,s
1,208.5,2021-12-03,s
1,208.5,2021-12-10,s
1,208.5,2021-12-17,s
1,208.5,2021-12-24,s
1,208.5,2021-12-31,s
1,208.5,2022-01-07,s
1,208.5,2022-01-14,s
1,208.5,2022-01-21,s
1,208.5,2022-01-28,s
1,208.5,2022-02-04,s
1,208.5,2022-02-11,s
1,208.5,2022-02-18,s
1,208.5,2022-02-25,s
1,208.5,2022-03-04,s
1,208.5,2022-03-11,s
1,208.5,2022-03-18,s
1,208.5,2022-03-25,s
1,208.5,2022-04-01,s
1,208.5,2022-04-08,s
1,208.5,2022-04-22,s
1,208.5,2022-04-29,s
1,208.5,2022-05-06,s
1,208.5,2022-05-13,s
1,208.5,2022-05-20,s
1,208.5,2022-05-27,s
1,208.5,2022-06-03,s
1,208.5,2022-06-10,s
1,208.5,2022-07-08,s
1,208.5,2022-07-15,s
1,208.5,2022-07-22,s
1,208.5,2022-07-29,s
1,208.5,2022-08-05,s
1,208.5,2022-08-12,s
1,208.5,2022-08-19,s
3,343.5,2021-09-10,s
3,343.5,2021-09-17,s
3,343.5,2021-09-24,s
3,343.5,2021-10-01,s
3,441.0,2021-10-08,s
3,441.0,2021-10-15,s
3,441.0,2021-10-22,s
3,366.5,2021-10-29,s
3,441.0,2021-11-05,s
3,387.5,2021-11-12,s
3,441.0,2021-11-19,s
3,441.0,2021-11-26,s
3,441.0,2021-12-03,s
3,441.0,2021-12-10,s
3,441.0,2021-12-17,s
3,441.0,2021-12-24,s
3,441.0,2021-12-31,s
3,441.0,2022-01-07,s
3,441.0,2022-01-14,s
3,441.0,2022-01-21,s
3,441.0,2022-01-28,s
3,441.0,2022-02-04,s
3,441.0,2022-02-11,s
3,441.0,2022-02-18,s
3,441.0,2022-02-25,s
3,441.0,2022-03-04,s
3,441.0,2022-03-11,s
3,441.0,2022-03-18,s
3,441.0,2022-03-25,s
3,441.0,2022-04-01,s
3,441.0,2022-04-08,s
3,441.0,2022-04-22,s
3,441.0,2022-04-29,s
3,441.0,2022-05-06,s
3,441.0,2022-05-13,s
3,441.0,2022-05-20,s
3,441.0,2022-05-27,s
3,441.0,2022-06-03,s
3,441.0,2022-06-10,s
3,441.0,2022-07-08,s
3,441.0,2022-07-15,s
3,441.0,2022-07-22,s
3,441.0,2022-07-29,s
3,441.0,2022-08-05,s
3,441.0,2022-08-12,s
3,441.0,2022-08-19,s
5,144.0,2021-09-10,s
5,144.0,2021-09-17,s
5,144.0,2021-09-24,s
5,144.0,2021-10-01,s
5,144.0,2021-10-08,s
5,144.0,2021-10-15,s
5,144.0,2021-10-22,s
5,144.0,2021-10-29,s
5,144.0,2021-11-05,s
5,144.0,2021-11-12,s
5,144.0,2021-11-19,s
5,144.0,2021-11-26,s
5,144.0,2021-12-03,s
5,144.0,2021-12-10,s
5,144.0,2021-12-17,s
5,144.0,2021-12-24,s
5,144.0,2021-12-31,s
5,144.0,2022-01-07,s
5,144.0,2022-01-14,s
5,144.0,2022-01-21,s
5,144.0,2022-01-28,s
5,144.0,2022-02-04,s
5,144.0,2022-02-11,s
5,144.0,2022-02-18,s
5,144.0,2022-02-25,s
5,144.0,2022-03-04,s
5,144.0,2022-03-11,s
5,144.0,2022-03-18,s
5,144.0,2022-03-25,s
5,144.0,2022-04-01,s
5,144.0,2022-04-08,s
5,144.0,2022-04-22,s
5,144.0,2022-04-29,s
5,144.0,2022-05-06,s
5,144.0,2022-05-13,s
5,144.0,2022-05-20,s
5,144.0,2022-05-27,s
5,144.0,2022-06-03,s
5,144.0,2022-06-10,s
5,144.0,2022-07-08,s
5,144.0,2022-07-15,s
5,144.0,2022-07-22,s
5,144.0,2022-07-29,s
5,144.0,2022-08-05,s
5,144.0,2022-08-12,s
5,144.0,2022-08-19,s
6,126.0,2021-09-10,s
6,126.0,2021-09-17,s
6,126.0,2021-09-24,s
6,126.0,2021-10-01,s
6,126.0,2021-10-08,s
6,106.5,2021-10-15,s
6,106.5,2021-10-22,s
6,126.0,2021-10-29,s
6,126.0,2021-11-05,s
6,126.0,2021-11-12,s
6,126.0,2021-11-19,s
6,126.0,2021-11-26,s
6,126.0,2021-12-03,s
6,108.0,2021-12-10,s
6,108.0,2021-12-17,s
6,126.0,2021-12-24,s
6,126.0,2021-12-31,s
6,126.0,2022-01-07,s
6,126.0,2022-01-14,s
6,126.0,2022-01-21,s
6,126.0,2022-01-28,s
6,126.0,2022-02-04,s
6,108.0,2022-02-11,s
6,126.0,2022-02-18,s
6,126.0,2022-02-25,s
6,126.0,2022-03-04,s
6,126.0,2022-03-11,s
6,104.5,2022-03-18,s
6,104.5,2022-03-25,s
6,104.5,2022-04-01,s
6,126.0,2022-04-08,s
6,126.0,2022-04-22,s
6,126.0,2022-04-29,s
6,102.5,2022-05-06,s
6,102.5,2022-05-13,s
6,119.0,2022-05-20,s
6,119.0,2022-05-27,s
6,119.0,2022-06-03,s
6,102.5,2022-06-10,s
6,126.0,2022-07-08,s
6,126.0,2022-07-15,s
6,126.0,2022-07-22,s
6,126.0,2022-07-29,s
6,104.0,2022-08-05,s
6,104.0,2022-08-12,s
6,121.5,2022-08-19,s
7,71.0,2021-09-10,s
7,71.0,2021-09-17,s
7,71.0,2021-09-24,s
7,107.0,2021-10-01,s
7,85.5,2021-10-08,s
7,85.5,2021-10-15,s
7,85.5,2021-10-22,s
7,85.5,2021-10-29,s
7,71.0,2021-11-05,s
7,71.0,2021-11-12,s
7,71.0,2021-11-19,s
7,71.0,2021-11-26,s
7,71.0,2021-12-03,s
7,71.0,2021-12-10,s
7,71.0,2021-12-17,s
7,71.0,2021-12-24,s
7,71.0,2021-12-31,s
7,78.5,2022-01-07,s
7,78.5,2022-01-14,s
7,78.5,2022-01-21,s
7,78.5,2022-01-28,s
7,78.5,2022-02-04,s
7,78.5,2022-02-11,s
7,78.5,2022-02-18,s
7,78.5,2022-02-25,s
7,78.5,2022-03-04,s
7,78.5,2022-03-11,s
7,100.0,2022-03-18,s
7,100.0,2022-03-25,s
7,100.0,2022-04-01,s
7,78.5,2022-04-08,s
7,78.5,2022-04-22,s
7,78.5,2022-04-29,s
7,78.5,2022-05-06,s
7,78.5,2022-05-13,s
7,78.5,2022-05-20,s
7,78.5,2022-05-27,s
7,78.5,2022-06-03,s
7,78.5,2022-06-10,s
7,78.5,2022-07-08,s
7,78.5,2022-07-15,s
7,78.5,2022-07-22,s
7,78.5,2022-07-29,s
7,78.5,2022-08-05,s
7,78.5,2022-08-12,s
7,78.5,2022-08-19,s
8,68.25,2021-09-10,s
8,68.25,2021-09-17,s
8,68.25,2021-09-24,s
8,83.75,2021-10-01,s
8,74.5,2021-10-08,s
8,74.5,2021-10-15,s
8,74.5,2021-10-22,s
8,74.5,2021-10-29,s
8,68.25,2021-11-05,s
8,68.25,2021-11-12,s
8,68.25,2021-11-19,s
8,68.25,2021-11-26,s
8,68.25,2021-12-03,s
8,68.25,2021-12-10,s
8,68.25,2021-12-17,s
8,68.25,2021-12-24,s
8,68.25,2021-12-31,s
8,71.25,2022-01-07,s
8,71.25,2022-01-14,s
8,71.25,2022-01-21,s
8,71.25,2022-01-28,s
8,71.25,2022-02-04,s
8,71.25,2022-02-11,s
8,71.25,2022-02-18,s
8,71.25,2022-02-25,s
8,71.25,2022-03-04,s
8,71.25,2022-03-11,s
8,71.25,2022-03-18,s
8,71.25,2022-03-25,s
8,71.25,2022-04-01,s
8,71.25,2022-04-08,s
8,71.25,2022-04-22,s
8,71.25,2022-04-29,s
8,71.25,2022-05-06,s
8,71.25,2022-05-13,s
8,71.25,2022-05-20,s
8,71.25,2022-05-27,s
8,71.25,2022-06-03,s
8,71.25,2022-06-10,s
8,71.25,2022-07-08,s
8,71.25,2022-07-15,s
8,71.25,2022-07-22,s
8,71.25,2022-07-29,s
8,71.25,2022-08-05,s
8,71.25,2022-08-12,s
8,71.25,2022-08-19,s
9,184.0,2021-09-10,s
9,184.0,2021-09-17,s
9,184.0,2021-09-24,s
9,184.0,2021-10-01,s
9,184.0,2021-10-08,s
9,184.0,2021-10-15,s
9,184.0,2021-10-22,s
9,184.0,2021-10-29,s
9,184.0,2021-11-05,s
9,184.0,2021-11-12,s
9,184.0,2021-11-19,s
9,184.0,2021-11-26,s
9,184.0,2021-12-03,s
9,184.0,2021-12-10,s
9,184.0,2021-12-17,s
9,184.0,2021-12-24,s
9,184.0,2021-12-31,s
9,184.0,2022-01-07,s
9,184.0,2022-01-14,s
9,184.0,2022-01-21,s
9,184.0,2022-01-28,s
9,184.0,2022-02-04,s
9,184.0,2022-02-11,s
9,184.0,2022-02-18,s
9,184.0,2022-02-25,s
9,137.0,2022-03-04,s
9,137.0,2022-03-11,s
9,184.0,2022-03-18,s
9,184.0,2022-03-25,s
9,184.0,2022-04-01,s
9,184.0,2022-04-08,s
9,184.0,2022-04-22,s
9,184.0,2022-04-29,s
9,184.0,2022-05-06,s
9,184.0,2022-05-13,s
9,184.0,2022-05-20,s
9,184.0,2022-05-27,s
9,184.0,2022-06-03,s
9,184.0,2022-06-10,s
9,184.0,2022-07-08,s
9,184.0,2022-07-15,s
9,184.0,2022-07-22,s
9,184.0,2022-07-29,s
9,184.0,2022-08-05,s
9,184.0,2022-08-12,s
9,184.0,2022-08-19,s
10,155.0,2021-09-10,s
10,155.0,2021-09-17,s
10,155.0,2021-09-24,s
10,155.0,2021-10-01,s
10,155.0,2021-10-08,s
10,155.0,2021-10-15,s
10,155.0,2021-10-22,s
10,155.0,2021-10-29,s
10,155.0,2021-11-05,s
10,155.0,2021-11-12,s
10,155.0,2021-11-19,s
10,155.0,2021-11-26,s
10,155.0,2021-12-03,s
10,155.0,2021-12-10,s
10,155.0,2021-12-17,s
10,155.0,2021-12-24,s
10,155.0,2021-12-31,s
10,155.0,2022-01-07,s
10,155.0,2022-01-14,s
10,155.0,2022-01-21,s
10,155.0,2022-01-28,s
10,155.0,2022-02-04,s
10,155.0,2022-02-11,s
10,155.0,2022-02-18,s
10,155.0,2022-02-25,s
10,155.0,2022-03-04,s
10,155.0,2022-03-11,s
10,155.0,2022-03-18,s
10,155.0,2022-03-25,s
10,155.0,2022-04-01,s
10,199.5,2022-04-08,s
10,199.5,2022-04-22,s
10,199.5,2022-04-29,s
10,199.5,2022-05-06,s
10,199.5,2022-05-13,s
10,199.5,2022-05-20,s
10,199.5,2022-05-27,s
10,199.5,2022-06-03,s
10,199.5,2022-06-10,s
10,199.5,2022-07-08,s
10,199.5,2022-07-15,s
10,199.5,2022-07-22,s
10,199.5,2022-07-29,s
10,199.5,2022-08-05,s
10,199.5,2022-08-12,s
10,199.5,2022-08-19,s
11,50.0,2021-09-10,s
11,72.0,2021-09-17,s
11,72.0,2021-09-24,s
11,62.5,2021-10-01,s
11,62.0,2021-10-08,s
11,62.0,2021-10-15,s
11,62.0,2021-10-22,s
11,56.0,2021-10-29,s
11,62.0,2021-11-05,s
11,62.0,2021-11-12,s
11,62.0,2021-11-19,s
11,62.0,2021-11-26,s
11,78.0,2021-12-03,s
11,62.0,2021-12-10,s
11,62.0,2021-12-17,s
11,62.0,2021-12-24,s
11,62.0,2021-12-31,s
11,78.0,2022-01-07,s
11,62.0,2022-01-14,s
11,62.0,2022-01-21,s
11,62.0,2022-01-28,s
11,62.0,2022-02-04,s
11,62.0,2022-02-11,s
11,62.0,2022-02-18,s
11,62.0,2022-02-25,s
11,62.5,2022-03-04,s
11,62.5,2022-03-11,s
11,62.5,2022-03-18,s
11,62.5,2022-03-25,s
11,62.5,2022-04-01,s
11,62.5,2022-04-08,s
11,62.5,2022-04-22,s
11,62.5,2022-04-29,s
11,62.5,2022-05-06,s
11,62.5,2022-05-13,s
11,62.5,2022-05-20,s
11,62.5,2022-05-27,s
11,62.5,2022-06-03,s
11,62.5,2022-06-10,s
11,62.5,2022-07-08,s
11,62.5,2022-07-15,s
11,93.5,2022-07-22,s
11,93.5,2022-07-29,s
11,62.5,2022-08-05,s
11,62.5,2022-08-12,s
11,93.5,2022-08-19,s
12,75.0,2021-09-10,s
12,64.0,2021-09-17,s
12,64.0,2021-09-24,s
12,75.0,2021-10-01,s
12,75.0,2021-10-08,s
12,75.0,2021-10-15,s
12,75.0,2021-10-22,s
12,75.0,2021-10-29,s
12,75.0,2021-11-05,s
12,75.0,2021-11-12,s
12,75.0,2021-11-19,s
12,75.0,2021-11-26,s
12,75.0,2021-12-03,s
12,75.0,2021-12-10,s
12,75.0,2021-12-17,s
12,75.0,2021-12-24,s
12,75.0,2021-12-31,s
12,69.5,2022-01-07,s
12,69.5,2022-01-14,s
12,69.5,2022-01-21,s
12,64.0,2022-01-28,s
12,64.0,2022-02-04,s
12,64.0,2022-02-11,s
12,69.5,2022-02-18,s
12,69.5,2022-02-25,s
12,78.0,2022-03-04,s
12,78.0,2022-03-11,s
12,78.0,2022-03-18,s
12,78.0,2022-03-25,s
12,78.0,2022-04-01,s
12,75.0,2022-04-08,s
12,72.5,2022-04-22,s
12,72.5,2022-04-29,s
12,72.5,2022-05-06,s
12,72.5,2022-05-13,s
12,78.0,2022-05-20,s
12,78.0,2022-05-27,s
12,78.0,2022-06-03,s
12,78.0,2022-06-10,s
12,78.0,2022-07-08,s
12,78.0,2022-07-15,s
12,61.0,2022-07-22,s
