goods_id,product_id,name,img,capacity,measure,ea,cheap_url
0,0,오리온 포카칩 오리지널(66g),오리온 포카칩 오리지널(66g)_img,-,g,-,오리온 포카칩 오리지널(66g)_url
1,0,칩포테이토 오리지날,칩포테이토 오리지날_img,-,g,-,칩포테이토 오리지날_url
2,0,포테토칩 오리지날(125g),포테토칩 오리지날(125g)_img,-,g,-,포테토칩 오리지날(125g)_url
3,1,롯데 자일리톨 오리지날(87g),롯데 자일리톨 오리지날(87g)_img,-,g,-,롯데 자일리톨 오리지날(87g)_url
4,1,롯데 자일리톨 오리지날(97g),롯데 자일리톨 오리지날(97g)_img,-,g,-,롯데 자일리톨 오리지날(97g)_url
5,3,아이비(270g),아이비(270g)_img,-,g,-,아이비(270g)_url
6,3,참크래커(280g),참크래커(280g)_img,-,g,-,참크래커(280g)_url
7,4,돼지바(70ml),돼지바(70ml)_img,-,ml,-,돼지바(70ml)_url
8,4,메로나(75ml),메로나(75ml)_img,-,ml,-,메로나(75ml)_url
9,5,롯데 목캔디 허브민트(217g),롯데 목캔디 허브민트(217g)_img,-,g,-,롯데 목캔디 허브민트(217g)_url
10,5,오리온 통아몬드 캔디(90g),오리온 통아몬드 캔디(90g)_img,-,g,-,오리온 통아몬드 캔디(90g)_url
11,6,롯데 월드콘 바닐라(160ml),롯데 월드콘 바닐라(160ml)_img,-,ml,-,롯데 월드콘 바닐라(160ml)_url
12,6,투게더 오리지널 바닐라(900ml),투게더 오리지널 바닐라(900ml)_img,-,ml,-,투게더 오리지널 바닐라(900ml)_url
13,7,닥터유 에너지바(40g),닥터유 에너지바(40g)_img,-,g,-,닥터유 에너지바(40g)_url
14,7,닥터유 에너지바(4개입),닥터유 에너지바(4개입)_img,-,g,-,닥터유 에너지바(4개입)_url
15,7,켈로그 레드베리 에너지바(4개입),켈로그 레드베리 에너지바(4개입)_img,-,g,-,켈로그 레드베리 에너지바(4개입)_url
16,8,자유시간(36g),자유시간(36g)_img,-,g,-,자유시간(36g)_url
17,8,자유시간(5개입),자유시간(5개입)_img,-,g,-,자유시간(5개입)_url
18,8,핫브레이크 미니(714g),핫브레이크 미니(714g)_img,-,g,-,핫브레이크 미니(714g)_url
19,9,몽쉘 크림(384g),몽쉘 크림(384g)_img,-,g,-,몽쉘 크림(384g)_url
20,9,오리온 초코파이(18개입),오리온 초코파이(18개입)_img,-,g,-,오리온 초코파이(18개입)_url
21,10,롯데 ABC 초코(187g),롯데 ABC 초코(187g)_img,-,g,-,롯데 ABC 초코(187g)_url
22,10,롯데 ABC 초코(65g),롯데 ABC 초코(65g)_img,-,g,-,롯데 ABC 초코(65g)_url
23,10,롯데 빅가나 마일드(110g),롯데 빅가나 마일드(110g)_img,-,g,-,롯데 빅가나 마일드(110g)_url
24,11,양조간장 501,양조간장 501_img,-,ml,-,양조간장 501_url
25,11,진간장 금F3(930ml),진간장 금F3(930ml)_img,-,ml,-,진간장 금F3(930ml)_url
26,12,순창 오리지널 우리쌀 찰고추장(1kg),순창 오리지널 우리쌀 찰고추장(1kg)_img,-,g,-,순창 오리지널 우리쌀 찰고추장(1kg)_url
27,12,해찬들 우리쌀태양초골드(1kg),해찬들 우리쌀태양초골드(1kg)_img,-,g,-,해찬들 우리쌀태양초골드(1kg)_url
28,13,백설 소면(900g),백설 소면(900g)_img,-,g,-,백설 소면(900g)_url
